"module name","license","repository"
"@ampproject/remapping@2.3.0","Apache-2.0","https://github.com/ampproject/remapping"
"@babel/code-frame@7.27.1","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.27.7","MIT","https://github.com/babel/babel"
"@babel/core@7.27.7","MIT","https://github.com/babel/babel"
"@babel/generator@7.27.5","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.27.2","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.27.3","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.27.6","MIT","https://github.com/babel/babel"
"@babel/parser@7.27.7","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-class-static-block@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-attributes@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/plugin-syntax-private-property-in-object@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-top-level-await@7.14.5","MIT","https://github.com/babel/babel"
"@babel/runtime@7.27.6","MIT","https://github.com/babel/babel"
"@babel/template@7.27.2","MIT","https://github.com/babel/babel"
"@babel/traverse@7.27.7","MIT","https://github.com/babel/babel"
"@babel/types@7.27.7","MIT","https://github.com/babel/babel"
"@egjs/hammerjs@2.0.17","MIT","https://github.com/naver/hammer.js"
"@hapi/address@5.1.1","BSD-3-Clause","https://github.com/hapijs/address"
"@hapi/formula@3.0.2","BSD-3-Clause","https://github.com/hapijs/formula"
"@hapi/hoek@11.0.7","BSD-3-Clause","https://github.com/hapijs/hoek"
"@hapi/hoek@9.3.0","BSD-3-Clause","https://github.com/hapijs/hoek"
"@hapi/pinpoint@2.0.1","BSD-3-Clause","https://github.com/hapijs/pinpoint"
"@hapi/tlds@1.1.3","BSD-3-Clause","https://github.com/hapijs/tlds"
"@hapi/topo@5.1.0","BSD-3-Clause","https://github.com/hapijs/topo"
"@hapi/topo@6.0.2","BSD-3-Clause","https://github.com/hapijs/topo"
"@isaacs/ttlcache@1.4.1","ISC","https://github.com/isaacs/ttlcache"
"@istanbuljs/load-nyc-config@1.1.0","ISC","https://github.com/istanbuljs/load-nyc-config"
"@istanbuljs/schema@0.1.3","MIT","https://github.com/istanbuljs/schema"
"@jest/create-cache-key-function@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/environment@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/fake-timers@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/schemas@29.6.3","MIT","https://github.com/jestjs/jest"
"@jest/transform@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/types@26.6.2","MIT","https://github.com/facebook/jest"
"@jest/types@29.6.3","MIT","https://github.com/jestjs/jest"
"@jridgewell/gen-mapping@0.3.11","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/source-map@0.3.9","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/sourcemap-codec@1.5.3","MIT","https://github.com/jridgewell/sourcemaps"
